[nordpool_live] zone=SE4 dir=/Users/bjorn_ahl/Downloads/GitHub/HappyDays_florentxlundaisociety/data poll=60s fetch=21600s dry_run=False
[2026-04-18T15:14:26+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:15:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:16:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:17:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:18:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:19:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:20:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:21:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:22:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:23:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:24:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:25:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:26:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:27:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:28:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:29:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
[2026-04-18T15:30:27+02:00] current=33.9 öre (green) window=12h today=24h actions=3
