date_time_utc,wattage_wm2,price_sek_per_kwh
2025-01-01T00:00:00+00:00,0.0,0.02336
2025-01-01T01:00:00+00:00,0.0,0.02336
2025-01-01T02:00:00+00:00,0.0,0.01763
2025-01-01T03:00:00+00:00,0.0,0.01351
2025-01-01T04:00:00+00:00,0.0,0.02725
2025-01-01T05:00:00+00:00,0.0,0.01477
2025-01-01T06:00:00+00:00,0.0,0.01706
2025-01-01T07:00:00+00:00,0.0,0.02748
2025-01-01T08:00:00+00:00,2.1,0.03092
2025-01-01T09:00:00+00:00,12.9,0.04237
2025-01-01T10:00:00+00:00,22.3,0.0442
2025-01-01T11:00:00+00:00,26.6,0.04466
2025-01-01T12:00:00+00:00,24.5,0.04534
2025-01-01T13:00:00+00:00,16.8,0.06298
2025-01-01T14:00:00+00:00,5.7,0.14061
2025-01-01T15:00:00+00:00,0.0,0.22087
2025-01-01T16:00:00+00:00,0.0,0.24538
2025-01-01T17:00:00+00:00,0.0,0.19328
2025-01-01T18:00:00+00:00,0.0,0.11576
2025-01-01T19:00:00+00:00,0.0,0.09172
2025-01-01T20:00:00+00:00,0.0,0.0774
2025-01-01T21:00:00+00:00,0.0,0.11221
2025-01-01T22:00:00+00:00,0.0,0.08027
2025-01-01T23:00:00+00:00,0.0,0.03386
2025-01-02T00:00:00+00:00,0.0,0.03236
2025-01-02T01:00:00+00:00,0.0,0.04212
2025-01-02T02:00:00+00:00,0.0,0.0785
2025-01-02T03:00:00+00:00,0.0,0.14105
2025-01-02T04:00:00+00:00,0.0,0.24606
2025-01-02T05:00:00+00:00,0.0,0.45837
2025-01-02T06:00:00+00:00,0.0,1.07203
2025-01-02T07:00:00+00:00,0.0,1.36135
2025-01-02T08:00:00+00:00,5.9,1.42539
2025-01-02T09:00:00+00:00,35.9,1.41529
2025-01-02T10:00:00+00:00,51.7,1.26782
2025-01-02T11:00:00+00:00,47.7,1.15328
2025-01-02T12:00:00+00:00,51.2,1.21215
2025-01-02T13:00:00+00:00,38.2,1.2848
2025-01-02T14:00:00+00:00,16.3,1.45764
2025-01-02T15:00:00+00:00,0.0,1.55232
2025-01-02T16:00:00+00:00,0.0,1.71942
2025-01-02T17:00:00+00:00,0.0,1.67741
2025-01-02T18:00:00+00:00,0.0,1.23442
2025-01-02T19:00:00+00:00,0.0,1.17979
2025-01-02T20:00:00+00:00,0.0,0.86705
2025-01-02T21:00:00+00:00,0.0,0.70661
2025-01-02T22:00:00+00:00,0.0,0.56178
2025-01-02T23:00:00+00:00,0.0,0.48896
2025-01-03T00:00:00+00:00,0.0,0.43602
2025-01-03T01:00:00+00:00,0.0,0.40263
2025-01-03T02:00:00+00:00,0.0,0.38227
2025-01-03T03:00:00+00:00,0.0,0.34317
2025-01-03T04:00:00+00:00,0.0,0.35209
2025-01-03T05:00:00+00:00,0.0,0.43934
2025-01-03T06:00:00+00:00,0.0,0.59623
2025-01-03T07:00:00+00:00,0.0,0.92167
2025-01-03T08:00:00+00:00,3.7,0.9283
2025-01-03T09:00:00+00:00,14.1,0.86666
2025-01-03T10:00:00+00:00,49.9,0.78925
2025-01-03T11:00:00+00:00,44.4,0.62298
2025-01-03T12:00:00+00:00,24.6,0.6056
2025-01-03T13:00:00+00:00,46.0,0.61509
2025-01-03T14:00:00+00:00,15.9,0.83579
2025-01-03T15:00:00+00:00,0.0,1.14957
2025-01-03T16:00:00+00:00,0.0,1.21132
2025-01-03T17:00:00+00:00,0.0,1.24265
2025-01-03T18:00:00+00:00,0.0,1.15277
2025-01-03T19:00:00+00:00,0.0,0.95026
2025-01-03T20:00:00+00:00,0.0,0.9251
2025-01-03T21:00:00+00:00,0.0,0.76992
2025-01-03T22:00:00+00:00,0.0,0.7769
2025-01-03T23:00:00+00:00,0.0,0.57971
2025-01-04T00:00:00+00:00,0.0,0.54112
2025-01-04T01:00:00+00:00,0.0,0.49876
2025-01-04T02:00:00+00:00,0.0,0.49876
2025-01-04T03:00:00+00:00,0.0,0.48673
2025-01-04T04:00:00+00:00,0.0,0.49005
2025-01-04T05:00:00+00:00,0.0,0.65551
2025-01-04T06:00:00+00:00,0.0,0.95847
2025-01-04T07:00:00+00:00,0.0,1.14144
2025-01-04T08:00:00+00:00,3.3,1.20544
2025-01-04T09:00:00+00:00,13.2,1.21174
2025-01-04T10:00:00+00:00,35.7,1.2027
2025-01-04T11:00:00+00:00,48.2,1.17808
2025-01-04T12:00:00+00:00,41.1,0.8884
2025-01-04T13:00:00+00:00,28.6,1.27243
2025-01-04T14:00:00+00:00,9.3,1.55066
2025-01-04T15:00:00+00:00,0.0,1.62348
2025-01-04T16:00:00+00:00,0.0,1.69859
2025-01-04T17:00:00+00:00,0.0,1.60859
2025-01-04T18:00:00+00:00,0.0,1.53005
2025-01-04T19:00:00+00:00,0.0,1.35051
2025-01-04T20:00:00+00:00,0.0,1.30494
2025-01-04T21:00:00+00:00,0.0,0.84351
2025-01-04T22:00:00+00:00,0.0,0.7036
2025-01-04T23:00:00+00:00,0.0,0.62112
2025-01-05T00:00:00+00:00,0.0,0.62891
2025-01-05T01:00:00+00:00,0.0,0.63991
2025-01-05T02:00:00+00:00,0.0,0.6619
2025-01-05T03:00:00+00:00,0.0,0.76193
2025-01-05T04:00:00+00:00,0.0,0.77568
2025-01-05T05:00:00+00:00,0.0,0.93081
2025-01-05T06:00:00+00:00,0.0,0.93826
2025-01-05T07:00:00+00:00,0.0,0.97916
2025-01-05T08:00:00+00:00,2.4,1.02603
2025-01-05T09:00:00+00:00,13.3,0.96576
2025-01-05T10:00:00+00:00,28.6,1.04264
2025-01-05T11:00:00+00:00,29.9,0.95854
2025-01-05T12:00:00+00:00,50.1,0.90194
2025-01-05T13:00:00+00:00,38.8,0.78221
2025-01-05T14:00:00+00:00,12.1,0.59568
2025-01-05T15:00:00+00:00,0.0,0.58605
2025-01-05T16:00:00+00:00,0.0,0.7633
2025-01-05T17:00:00+00:00,0.0,0.73397
2025-01-05T18:00:00+00:00,0.0,0.58903
2025-01-05T19:00:00+00:00,0.0,0.42256
2025-01-05T20:00:00+00:00,0.0,0.42313
2025-01-05T21:00:00+00:00,0.0,0.39712
2025-01-05T22:00:00+00:00,0.0,0.32161
2025-01-05T23:00:00+00:00,0.0,0.3144
2025-01-06T00:00:00+00:00,0.0,0.27132
2025-01-06T01:00:00+00:00,0.0,0.22457
2025-01-06T02:00:00+00:00,0.0,0.19203
2025-01-06T03:00:00+00:00,0.0,0.17839
2025-01-06T04:00:00+00:00,0.0,0.17083
2025-01-06T05:00:00+00:00,0.0,0.28552
2025-01-06T06:00:00+00:00,0.0,0.34854
2025-01-06T07:00:00+00:00,0.0,0.43756
2025-01-06T08:00:00+00:00,2.5,0.40732
2025-01-06T09:00:00+00:00,13.6,0.39506
2025-01-06T10:00:00+00:00,22.9,0.37386
2025-01-06T11:00:00+00:00,27.0,0.35255
2025-01-06T12:00:00+00:00,25.5,0.32654
2025-01-06T13:00:00+00:00,19.2,0.29114
2025-01-06T14:00:00+00:00,8.5,0.2995
2025-01-06T15:00:00+00:00,0.0,0.30592
2025-01-06T16:00:00+00:00,0.0,0.36321
2025-01-06T17:00:00+00:00,0.0,0.36561
2025-01-06T18:00:00+00:00,0.0,0.32161
2025-01-06T19:00:00+00:00,0.0,0.26146
2025-01-06T20:00:00+00:00,0.0,0.15433
2025-01-06T21:00:00+00:00,0.0,0.17484
2025-01-06T22:00:00+00:00,0.0,0.09441
2025-01-06T23:00:00+00:00,0.0,0.11791
2025-01-07T00:00:00+00:00,0.0,0.08006
2025-01-07T01:00:00+00:00,0.0,0.06113
2025-01-07T02:00:00+00:00,0.0,0.04783
2025-01-07T03:00:00+00:00,0.0,0.05746
2025-01-07T04:00:00+00:00,0.0,0.06492
2025-01-07T05:00:00+00:00,0.0,0.32138
2025-01-07T06:00:00+00:00,0.0,0.41325
2025-01-07T07:00:00+00:00,0.0,0.42725
2025-01-07T08:00:00+00:00,2.9,0.40155
2025-01-07T09:00:00+00:00,29.6,0.39307
2025-01-07T10:00:00+00:00,28.6,0.39742
2025-01-07T11:00:00+00:00,29.6,0.38194
2025-01-07T12:00:00+00:00,26.9,0.3816
2025-01-07T13:00:00+00:00,19.4,0.38102
2025-01-07T14:00:00+00:00,9.9,0.38102
2025-01-07T15:00:00+00:00,0.0,0.40155
2025-01-07T16:00:00+00:00,0.0,0.41601
2025-01-07T17:00:00+00:00,0.0,0.40121
2025-01-07T18:00:00+00:00,0.0,0.3777
2025-01-07T19:00:00+00:00,0.0,0.26644
2025-01-07T20:00:00+00:00,0.0,0.07111
2025-01-07T21:00:00+00:00,0.0,0.05574
2025-01-07T22:00:00+00:00,0.0,0.04439
2025-01-07T23:00:00+00:00,0.0,0.14258
2025-01-08T00:00:00+00:00,0.0,0.14774
2025-01-08T01:00:00+00:00,0.0,0.202
2025-01-08T02:00:00+00:00,0.0,0.19305
2025-01-08T03:00:00+00:00,0.0,0.23228
2025-01-08T04:00:00+00:00,0.0,0.25832
2025-01-08T05:00:00+00:00,0.0,0.28608
2025-01-08T06:00:00+00:00,0.0,0.50058
2025-01-08T07:00:00+00:00,0.0,0.64763
2025-01-08T08:00:00+00:00,2.7,0.7464
2025-01-08T09:00:00+00:00,14.4,0.79492
2025-01-08T10:00:00+00:00,24.4,0.81293
2025-01-08T11:00:00+00:00,27.3,0.79526
2025-01-08T12:00:00+00:00,25.7,0.85204
2025-01-08T13:00:00+00:00,19.0,0.92947
2025-01-08T14:00:00+00:00,8.5,1.20844
2025-01-08T15:00:00+00:00,0.0,1.52101
2025-01-08T16:00:00+00:00,0.0,1.74974
2025-01-08T17:00:00+00:00,0.0,1.66841
2025-01-08T18:00:00+00:00,0.0,1.63905
2025-01-08T19:00:00+00:00,0.0,1.26086
2025-01-08T20:00:00+00:00,0.0,1.08593
2025-01-08T21:00:00+00:00,0.0,0.86856
2025-01-08T22:00:00+00:00,0.0,0.58397
2025-01-08T23:00:00+00:00,0.0,0.38999
2025-01-09T00:00:00+00:00,0.0,0.36662
2025-01-09T01:00:00+00:00,0.0,0.36063
2025-01-09T02:00:00+00:00,0.0,0.36719
2025-01-09T03:00:00+00:00,0.0,0.38792
2025-01-09T04:00:00+00:00,0.0,0.49926
2025-01-09T05:00:00+00:00,0.0,0.7786
2025-01-09T06:00:00+00:00,0.0,1.68235
2025-01-09T07:00:00+00:00,0.0,1.8652
2025-01-09T08:00:00+00:00,3.3,1.77101
2025-01-09T09:00:00+00:00,19.2,1.67464
2025-01-09T10:00:00+00:00,27.2,1.62098
2025-01-09T11:00:00+00:00,31.7,1.48154
2025-01-09T12:00:00+00:00,34.1,1.40025
2025-01-09T13:00:00+00:00,19.1,1.43272
2025-01-09T14:00:00+00:00,8.1,1.49502
2025-01-09T15:00:00+00:00,0.0,1.51252
2025-01-09T16:00:00+00:00,0.0,1.54729
2025-01-09T17:00:00+00:00,0.0,1.59047
2025-01-09T18:00:00+00:00,0.0,1.4493
2025-01-09T19:00:00+00:00,0.0,1.37469
2025-01-09T20:00:00+00:00,0.0,1.17987
2025-01-09T21:00:00+00:00,0.0,1.1147
2025-01-09T22:00:00+00:00,0.0,0.7832
2025-01-09T23:00:00+00:00,0.0,0.76385
2025-01-10T00:00:00+00:00,0.0,0.62469
2025-01-10T01:00:00+00:00,0.0,0.58768
2025-01-10T02:00:00+00:00,0.0,0.54585
2025-01-10T03:00:00+00:00,0.0,0.56562
2025-01-10T04:00:00+00:00,0.0,0.67042
2025-01-10T05:00:00+00:00,0.0,1.11147
2025-01-10T06:00:00+00:00,0.0,1.42588
2025-01-10T07:00:00+00:00,0.0,1.60469
2025-01-10T08:00:00+00:00,3.7,1.56424
2025-01-10T09:00:00+00:00,14.9,1.4183
2025-01-10T10:00:00+00:00,46.4,1.30706
2025-01-10T11:00:00+00:00,53.6,1.24041
2025-01-10T12:00:00+00:00,35.6,1.20283
2025-01-10T13:00:00+00:00,27.5,1.25397
2025-01-10T14:00:00+00:00,12.5,1.44347
2025-01-10T15:00:00+00:00,0.0,1.49943
2025-01-10T16:00:00+00:00,0.0,1.58527
2025-01-10T17:00:00+00:00,0.0,1.56367
2025-01-10T18:00:00+00:00,0.0,1.09883
2025-01-10T19:00:00+00:00,0.0,0.6356
2025-01-10T20:00:00+00:00,0.0,0.52172
2025-01-10T21:00:00+00:00,0.0,0.46047
